357.7	371.2	404.6	330.7
20.9	18.5	10.8	13.5
4.7	18.9	17.6	2.6
174.1	231.7	214.1	201.6
257	194.3	221.5	185.4
732.9	499.8	1092.3	923.6
1.1	2.2	11.7	2.6
109.7	174.6	185.9	109.1
887.2	551.8	2038.1	653.5
1145.5	1014.9	1103.1	850.4
169	200.6	196.3	151.4
8.5	10.3	6.6	3.4
25.9	31.7	43.3	40.9
28	34.4	13.2	28.3
17.2	3	6	9.9
225.4	316.5	305.7	333.1
13.9	23	7.8	34.4
2.2	10.1	2	2.3
37.9	31.2	26.4	33.4
20.4	50.2	47.4	33
104.6	40.2	63.3	69.6
74.7	47.3	52.1	48.3
510.1	490.4	528.6	645.6
19.6	17.6	21.2	41.5
29.2	12.7	6.9	18.4
10.1	6.2	6.6	5.3
24.8	18	23.7	34.7
31.7	23.9	25.5	19.9
63.1	20.3	58.1	82.1
6.7	11.3	16.6	8.6
46	53.6	57	50.7
16.9	7.6	18.4	14.3
23.1	14	30.8	13.5
219.7	212.4	290.4	244.9
45.5	39.4	30.3	31.9
64.9	106.8	76.4	97.4
69.5	33.5	45.1	41.5
92.3	96.2	101.5	50.9
39.1	33.8	45.5	16.2
1.7	0.9	12.4	3.7
3.2	12.1	4.1	16.3
57.6	68.8	63.5	80.1
24	8.2	49	35.6
4.2	9.5	9.2	6.6
5.1	4.8	6.9	4.6
46.3	20.5	40.7	21.3
1.3	1.8	1.4	0.8
6.3	20.1	13.2	3.3
301	235.1	219.5	313.6
76.7	130.6	121.8	106.5
52.4	54	38.8	47.8
45.8	81.7	35	59.5
20.7	32.4	24	14.8
12.8	15	17.4	9.2
51.4	49.6	42.6	38.6
0.8	1	4.4	1.8
18.3	30.6	6.5	3.1
89.5	7.5	42.2	140.1
75.9	39.4	53.4	35.7
29.9	63.7	35.7	47.2
93	120.3	88.6	106.7
59.9	87.3	83.7	67.7
44.9	44	12.7	8.5
21.8	6.3	16.8	2.4
27.5	9.3	8	4.7
17.5	2.6	20.1	1.9
8	43.2	35	24.5
575.2	464.9	589.2	659.8
500.9	275	376.2	600.7
13.3	12.5	6.1	6.9
29.1	39.5	39.9	36
70.8	601	18.9	73.9
8	5.3	3.9	17.7
32.2	41.2	35.2	31
31.3	18.6	29.6	33.7
17.5	2.2	1.5	12.8
370.1	372.4	307.6	586.3
75.5	67.8	75.4	53.5
10.4	24.4	9	9.5
48.5	25.1	14.8	15.5
752.1	523	871.5	1205.6
47.1	46.5	45.8	68.3
4.9	26.6	7.8	9.9
17	9.6	3.2	6.5
1.5	7.3	3	2
1.4	1.5	1.3	2.3
3.7	10.9	22.1	23.1
12.5	11.8	27.1	13
2	1	1.1	2.6
1233.6	1397.4	1140.6	1322.6
50.6	66.2	27.5	39.6
48.9	65.9	65.7	26.9
3.1	3.8	7.1	3.5
664.8	704.4	520	521.5
3.6	9.5	5.8	6.6
25.5	35.7	10.3	7.9
2.9	8.9	3.6	5.4
122.7	5.4	153.3	60.4
21	20.3	15.8	9.1
29.8	24.1	35.9	29.2
134.2	162.9	115.2	149.1
60.8	77.4	56	54.8
18.9	5.4	17.6	9.5
9.7	28.6	8.2	36.2
1	1.8	1.3	2.9
1187.7	1520.7	1507.9	1325.7
1519	1178.8	993	1685.5
12.1	1.3	10.8	1.8
1.4	5.9	41.3	2.7
72.8	83.1	74.9	56.3
222.9	353.6	258.3	199.9
64.4	60	72.9	75.4
93.1	118.9	89.7	92
8.1	1.9	2.5	2.5
63.1	76.2	64.8	101.4
3531.7	1969.9	1863.6	2397.1
1488.8	1223.2	619.6	1589.4
294.4	218	206	393.2
5.9	4.7	6.7	6.1
7	10.7	10.6	4.8
87.5	89	91.5	111.1
729.6	45.2	50.2	569.4
21	24.5	1	3.5
45.3	24.3	35.5	25.7
2.4	2.6	1.5	1.4
36.9	18.5	17.1	11.8
98.1	15.8	34.8	68.7
122.3	208.4	133.7	160.2
40.1	5.3	44	41.1
46.5	172.6	56.4	88
478.7	341.4	451.5	347.5
126.5	114.5	143.8	78.2
38.1	38.1	10	5.2
8.6	10.1	29.5	3
198.3	200.8	136.5	167.4
15.5	6.3	16.6	15.1
104.5	154.6	136.5	118.5
40.5	23.8	19.6	23.4
239	148.4	100.6	201.7
325.1	370.2	351.1	387.5
7.7	11	37.5	7.5
6.1	8.7	5.9	5.3
18.6	16.3	18.6	17
199.2	206.1	186.9	183.8
356.4	357	540.7	312.8
39.8	52.8	35.3	52.8
25.4	3	4.6	7
280.9	435.4	418.8	369.1
142.1	92.9	142.8	104.1
51.4	59.3	60.4	50.9
